Bag Number,Site,Date,Locality,Latitude,Longitude,Collector,Unique ID,Method(nocolor),Method,Warming,Plant Species,Order,Family,Genus,Species,Sex,Notes,Location
188,"Alexandra Fiord, Nunavut",2012-07-12,Willow,78.875,-75.799,S. Robinson,UBC:GH:1268,Bowl Trap,Bowl Trap Blue,Control,NA,Diptera,Anthomyiidae,NA,NA,NA,NA,Greg's Synoptic Collection
165,"Alexandra Fiord, Nunavut",2012-07-10,Willow,78.875,-75.799,S. Robinson,UBC:GH:1457,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Anthomyiidae,NA,NA,NA,NA,NA
126,"Alexandra Fiord, Nunavut",2012-07-06,Willow,78.875,-75.799,S. Robinson,UBC:GH:1518,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Anthomyiidae,NA,NA,NA,NA,NA
145,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1836,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Anthomyiidae,NA,NA,NA,NA,Greg's Synoptic Collection
217,"Alexandra Fiord, Nunavut",2012-07-14,Willow,78.875,-75.799,S. Robinson,UBC:GH:2047,Panfall,Panfall Yellow,Control,NA,Diptera,Anthomyiidae,NA,NA,NA,NA,Greg's Synoptic Collection
115,"Alexandra Fiord, Nunavut",2012-07-04,Willow,78.875,-75.799,S. Robinson,UBC:GH:2499,Panfall,Panfall Yellow,Control,NA,Diptera,Anthomyiidae,NA,NA,NA,NA,Greg's Synoptic Collection
346,"Alexandra Fiord, Nunavut",2012-07-30,Willow,78.875,-75.799,S. Robinson,UBC:GH:3092,Bowl Trap,Bowl Trap Blue,Control,NA,Diptera,Anthomyiidae,NA,NA,NA,NA,NA
346,"Alexandra Fiord, Nunavut",2012-07-30,Willow,78.875,-75.799,S. Robinson,UBC:GH:3097,Bowl Trap,Bowl Trap Blue,Control,NA,Diptera,Anthomyiidae,NA,NA,NA,NA,NA
346,"Alexandra Fiord, Nunavut",2012-07-30,Willow,78.875,-75.799,S. Robinson,UBC:GH:3100,Bowl Trap,Bowl Trap Blue,Control,NA,Diptera,Anthomyiidae,NA,NA,NA,NA,Greg's Synoptic Collection
283,"Alexandra Fiord, Nunavut",2012-07-20,Willow,78.875,-75.799,S. Robinson,UBC:GH:3224,Bowl Trap,Bowl Trap Yellow,OTC,NA,Diptera,Anthomyiidae,NA,NA,NA,NA,NA
238,"Alexandra Fiord, Nunavut",2012-07-16,Willow,78.875,-75.799,S. Robinson,UBC:GH:3276,Bowl Trap,Bowl Trap Blue,Control,NA,Diptera,Anthomyiidae,NA,NA,NA,NA,NA
391,"Alexandra Fiord, Nunavut",2012-08-07,Willow,78.875,-75.799,S. Robinson,UBC:GH:3583,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Anthomyiidae,NA,NA,NA,NA,NA
357,"Alexandra Fiord, Nunavut",2012-08-01,Willow,78.875,-75.799,S. Robinson,UBC:GH:3994,Bowl Trap,Bowl Trap Blue,OTC,NA,Diptera,Anthomyiidae,NA,NA,NA,NA,NA
303,"Alexandra Fiord, Nunavut",2012-07-22,Willow,78.875,-75.799,S. Robinson,UBC:GH:4008,Bowl Trap,Bowl Trap Yellow,Control,NA,Diptera,Anthomyiidae,NA,NA,NA,NA,NA
359,"Alexandra Fiord, Nunavut",2012-08-01,Willow,78.875,-75.799,S. Robinson,UBC:GH:4063,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Bolitophilidae,NA,NA,NA,NA,Greg's Synoptic Collection
29,"Alexandra Fiord, Nunavut",2012-06-24,Willow,78.875,-75.799,S. Robinson,UBC:GH:1075,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Caliphoridae,NA,NA,F,NA,Greg's Synoptic Collection
208,"Alexandra Fiord, Nunavut",2012-07-14,Willow,78.875,-75.799,S. Robinson,UBC:GH:1289,Bowl Trap,Bowl Trap Blue,Control,NA,Diptera,Caliphoridae,NA,NA,F,NA,Greg's Synoptic Collection
27,"Alexandra Fiord, Nunavut",2012-06-24,Willow,78.875,-75.799,S. Robinson,UBC:GH:871,Bowl Trap,Bowl Trap Blue,OTC,NA,Diptera,Caliphoridae,NA,NA,F,NA,Greg's Synoptic Collection
89,"Alexandra Fiord, Nunavut",2012-07-02,Willow,78.875,-75.799,S. Robinson,UBC:GH:895,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Caliphoridae,NA,NA,M,NA,Greg's Synoptic Collection
89,"Alexandra Fiord, Nunavut",2012-07-02,Willow,78.875,-75.799,S. Robinson,UBC:GH:918,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Caliphoridae,NA,NA,M,NA,Greg's Synoptic Collection
360,"Alexandra Fiord, Nunavut",2012-08-01,Willow,78.875,-75.799,S. Robinson,UBC:GH:3052,Bowl Trap,Bowl Trap Blue,Control,NA,Diptera,Chironomidae,NA,NA,F,NA,NA
360,"Alexandra Fiord, Nunavut",2012-08-01,Willow,78.875,-75.799,S. Robinson,UBC:GH:3061,Bowl Trap,Bowl Trap Blue,Control,NA,Diptera,Chironomidae,NA,NA,F,NA,NA
360,"Alexandra Fiord, Nunavut",2012-08-01,Willow,78.875,-75.799,S. Robinson,UBC:GH:3062,Bowl Trap,Bowl Trap Blue,Control,NA,Diptera,Chironomidae,NA,NA,F,NA,NA
347,"Alexandra Fiord, Nunavut",2012-07-30,Willow,78.875,-75.799,S. Robinson,UBC:GH:3177,Bowl Trap,Bowl Trap Yellow,Control,NA,Diptera,Chironomidae,NA,NA,F,NA,NA
347,"Alexandra Fiord, Nunavut",2012-07-30,Willow,78.875,-75.799,S. Robinson,UBC:GH:3178,Bowl Trap,Bowl Trap Yellow,Control,NA,Diptera,Chironomidae,NA,NA,F,NA,NA
347,"Alexandra Fiord, Nunavut",2012-07-30,Willow,78.875,-75.799,S. Robinson,UBC:GH:3184,Bowl Trap,Bowl Trap Yellow,Control,NA,Diptera,Chironomidae,NA,NA,F,NA,NA
347,"Alexandra Fiord, Nunavut",2012-07-30,Willow,78.875,-75.799,S. Robinson,UBC:GH:3191,Bowl Trap,Bowl Trap Yellow,Control,NA,Diptera,Chironomidae,NA,NA,F,NA,NA
347,"Alexandra Fiord, Nunavut",2012-07-30,Willow,78.875,-75.799,S. Robinson,UBC:GH:3201,Bowl Trap,Bowl Trap Yellow,Control,NA,Diptera,Chironomidae,NA,NA,F,NA,Greg's Synoptic Collection
302,"Alexandra Fiord, Nunavut",2012-07-22,Willow,78.875,-75.799,S. Robinson,UBC:GH:3214,Bowl Trap,Bowl Trap Blue,Control,NA,Diptera,Chironomidae,NA,NA,F,NA,NA
380,"Alexandra Fiord, Nunavut",2012-08-04,Willow,78.875,-75.799,S. Robinson,UBC:GH:3333,Bowl Trap,Bowl Trap Yellow,Control,NA,Diptera,Chironomidae,NA,NA,F,NA,NA
391,"Alexandra Fiord, Nunavut",2012-08-07,Willow,78.875,-75.799,S. Robinson,UBC:GH:3585,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Chironomidae,NA,NA,F,NA,NA
391,"Alexandra Fiord, Nunavut",2012-08-07,Willow,78.875,-75.799,S. Robinson,UBC:GH:3586,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Chironomidae,NA,NA,F,NA,NA
391,"Alexandra Fiord, Nunavut",2012-08-07,Willow,78.875,-75.799,S. Robinson,UBC:GH:3592,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Chironomidae,NA,NA,F,NA,NA
