Treatment,Site_ID,Depth,DO_mgL,SPC_uScm,TDS_mgL,ORP_mV,pH,Temperature
ERNW,161WP,Sub-surface,2.3,2330,1514.5,110,8.6,18.7
ERNW,161WP,Sub-surface,3.68,2318,1508,36.5,9.4,18.7
ERNW,161WP,Sub-surface,4.97,2322,1508,-36.5,9.2,18.7
ERNW,161WP,Sub-surface,6.97,2318,1508,105.7,9.3,18.7
ERNW,161WP,Sub-surface,5.82,2323,1514.4,110.7,9.3,18.7
ERNW,161WP,Sub-surface,6.65,2350,1527.5,143.9,9.5,18.7
ERNW,161WP,Sub-surface,5.89,2534,1651,127.6,9.4,18.7
ERNW,161WP,Sub-surface,5.91,2667,1735.5,155.3,8.8,18.7
ERNW,161WP,Surface,2.29,2340,1521,102.8,8.8,18.7
ERNW,161WP,Surface,5.85,2309,1501.5,99.7,9.2,18.7
ERNW,161WP,Surface,5.62,2323,1508,45.2,9.2,18.7
ERNW,161WP,Surface,6.39,2318,1508,116.9,9.3,18.7
ERNW,161WP,Surface,6.02,2323,1508,119.7,9.2,18.7
ERNW,161WP,Surface,6.48,2357,1527.5,144.9,9.5,18.7
ERNW,161WP,Surface,5.38,2515,1638,129.3,9.6,18.7
ERNW,161WP,Surface,5.12,2648,1722.5,154.7,8.9,18.7
ERNW,76WLA,Sub-surface,3.03,3183,2067,218.8,8.1,20.1
ERNW,76WLA,Sub-surface,1.29,3186,2073.5,236.2,8,20.1
ERNW,76WLA,Sub-surface,0.98,3189,2073.5,236.7,8,20.1
ERNW,76WLA,Sub-surface,1.84,3175,2060,223.2,8.1,20.1
ERNW,76WLA,Sub-surface,1.46,3196,2080,218,8.1,20.1
ERNW,76WLA,Surface,5.47,3181,2067,227.9,8.3,20.1
ERNW,76WLA,Surface,1.4,3187,2073.5,236.3,8,20.1
ERNW,76WLA,Surface,1.28,3192,2073.5,235.5,8.1,20.1
ERNW,76WLA,Surface,1.86,3195,2080,220.8,8,20.1
ERNW,76WLA,Surface,2.09,3197,208,221.5,8.2,20.1
ERNW,MM,Sub-surface,4.8,554.1,360.1,135.8,7.5,19.1
ERNW,MM,Sub-surface,4.49,554.7,360.75,140.4,7.4,19.1
ERNW,MM,Sub-surface,4.1,555.6,362.05,147.4,7.4,19.1
ERNW,MM,Sub-surface,5.51,533.4,359.45,150.4,7.5,19.1
ERNW,MM,Surface,4.54,555.5,360.75,136.6,7.4,19.1
ERNW,MM,Surface,5.05,554.6,360.75,143,7.3,19.1
ERNW,MM,Surface,5.28,554.8,360.75,147,7.4,19.1
ERNW,MM,Surface,5.21,554.5,360.75,150.9,7.4,19.1
ERNW,SV,Sub-surface,6.6,1010,656.5,149.8,8.6,20.1
ERNW,SV,Sub-surface,10.6,926,604.5,139.7,9.3,20.1
ERNW,SV,Sub-surface,8.46,834,546,140.7,9.4,20.1
ERNW,SV,Sub-surface,,,,,,20.1
ERNW,SV,Sub-surface,,,,,,20.1
ERNW,SV,Sub-surface,,,,,,20.1
ERNW,SV,Sub-surface,7.03,846,552.5,142.9,8.8,20.1
ERNW,SV,Sub-surface,6.39,622,403,142.7,9.1,20.1
ERNW,SV,Sub-surface,8.28,665,429,137.9,9,20.1
ERNW,SV,Surface,8.88,1007,656.5,149.8,8.8,20.1
ERNW,SV,Surface,11.66,928,604.5,136.8,9.4,20.1
ERNW,SV,Surface,11.39,824,533,132.7,9.5,20.1
ERNW,SV,Surface,12.9,750,487.5,130.1,9.6,20.1
ERNW,SV,Surface,11.94,738,481,129.9,9.4,20.1
ERNW,SV,Surface,8.88,893,578.5,139.5,8.9,20.1
ERNW,SV,Surface,7.44,825,533,140.4,8.8,20.1
ERNW,SV,Surface,9.66,665,429,136.1,9.1,20.1
ERNW,SV,Surface,10.65,656,429,134.1,9.1,20.1
ERNW,WH,Sub-surface,7.14,1290,838.5,123.7,9.2,21.9
