"ABMI.Site","Common.Name","medDetects","lon","lat"
"1","Le Conte's Sparrow",NA,-110.282402,59.943127
"1","Pine Siskin",NA,-110.282402,59.943127
"1","Sharp-tailed Grouse",NA,-110.282402,59.943127
"1","Wilson's Warbler",NA,-110.282402,59.943127
"1","Yellow Warbler",NA,-110.282402,59.943127
"1000","Le Conte's Sparrow",NA,-118.438721,54.316402
"1000","Pine Siskin",NA,-118.438721,54.316402
"1000","Sharp-tailed Grouse",NA,-118.438721,54.316402
"1000","Wilson's Warbler",NA,-118.438721,54.316402
"1000","Yellow Warbler",NA,-118.438721,54.316402
"1001","Le Conte's Sparrow",NA,-118.126053,54.314766
"1001","Pine Siskin",0.33,-118.126053,54.314766
"1001","Sharp-tailed Grouse",NA,-118.126053,54.314766
"1001","Wilson's Warbler",0.22,-118.126053,54.314766
"1001","Yellow Warbler",NA,-118.126053,54.314766
"1002","Le Conte's Sparrow",NA,-117.846184,54.292706
"1002","Pine Siskin",0.22,-117.846184,54.292706
"1002","Sharp-tailed Grouse",NA,-117.846184,54.292706
"1002","Wilson's Warbler",NA,-117.846184,54.292706
"1002","Yellow Warbler",NA,-117.846184,54.292706
"1003","Le Conte's Sparrow",NA,-117.516617,54.266102
"1003","Pine Siskin",0.67,-117.516617,54.266102
"1003","Sharp-tailed Grouse",NA,-117.516617,54.266102
"1003","Wilson's Warbler",0.11,-117.516617,54.266102
"1003","Yellow Warbler",NA,-117.516617,54.266102
"1004","Le Conte's Sparrow",NA,-117.282227,54.261223
"1004","Pine Siskin",NA,-117.282227,54.261223
"1004","Sharp-tailed Grouse",NA,-117.282227,54.261223
"1004","Wilson's Warbler",NA,-117.282227,54.261223
"1004","Yellow Warbler",NA,-117.282227,54.261223
"1005","Le Conte's Sparrow",NA,-116.921707,54.193382
"1005","Pine Siskin",NA,-116.921707,54.193382
"1005","Sharp-tailed Grouse",NA,-116.921707,54.193382
"1005","Wilson's Warbler",NA,-116.921707,54.193382
"1005","Yellow Warbler",NA,-116.921707,54.193382
"1006","Le Conte's Sparrow",NA,-116.588928,54.165482
"1006","Pine Siskin",NA,-116.588928,54.165482
"1006","Sharp-tailed Grouse",NA,-116.588928,54.165482
"1006","Wilson's Warbler",NA,-116.588928,54.165482
"1006","Yellow Warbler",NA,-116.588928,54.165482
"1007","Le Conte's Sparrow",NA,-116.269379,54.189331
"1007","Pine Siskin",NA,-116.269379,54.189331
"1007","Sharp-tailed Grouse",NA,-116.269379,54.189331
"1007","Wilson's Warbler",NA,-116.269379,54.189331
"1007","Yellow Warbler",NA,-116.269379,54.189331
"1008","Le Conte's Sparrow",NA,-115.990967,54.149139
"1008","Pine Siskin",0.33,-115.990967,54.149139
"1008","Sharp-tailed Grouse",NA,-115.990967,54.149139
"1008","Wilson's Warbler",NA,-115.990967,54.149139
"1008","Yellow Warbler",0.11,-115.990967,54.149139
"1009","Le Conte's Sparrow",NA,-115.737389,54.115536
"1009","Pine Siskin",0.11,-115.737389,54.115536
"1009","Sharp-tailed Grouse",NA,-115.737389,54.115536
"1009","Wilson's Warbler",NA,-115.737389,54.115536
"1009","Yellow Warbler",0.78,-115.737389,54.115536
"1016","Le Conte's Sparrow",NA,-113.623085,53.931473
"1016","Pine Siskin",0.11,-113.623085,53.931473
"1016","Sharp-tailed Grouse",NA,-113.623085,53.931473
"1016","Wilson's Warbler",NA,-113.623085,53.931473
"1016","Yellow Warbler",1.33,-113.623085,53.931473
"1017","Le Conte's Sparrow",0.22,-113.254288,53.878666
"1017","Pine Siskin",0.33,-113.254288,53.878666
"1017","Sharp-tailed Grouse",NA,-113.254288,53.878666
"1017","Wilson's Warbler",NA,-113.254288,53.878666
"1017","Yellow Warbler",1.11,-113.254288,53.878666
"1018","Le Conte's Sparrow",NA,-112.986923,53.872318
"1018","Pine Siskin",0.11,-112.986923,53.872318
"1018","Sharp-tailed Grouse",NA,-112.986923,53.872318
"1018","Wilson's Warbler",NA,-112.986923,53.872318
"1018","Yellow Warbler",1.11,-112.986923,53.872318
"1019","Le Conte's Sparrow",NA,-112.692451,53.83131
"1019","Pine Siskin",NA,-112.692451,53.83131
"1019","Sharp-tailed Grouse",NA,-112.692451,53.83131
"1019","Wilson's Warbler",NA,-112.692451,53.83131
"1019","Yellow Warbler",NA,-112.692451,53.83131
"1020","Le Conte's Sparrow",NA,-112.393845,53.800499
"1020","Pine Siskin",NA,-112.393845,53.800499
"1020","Sharp-tailed Grouse",NA,-112.393845,53.800499
"1020","Wilson's Warbler",NA,-112.393845,53.800499
"1020","Yellow Warbler",NA,-112.393845,53.800499
"1021","Le Conte's Sparrow",NA,-112.04409,53.743744
"1021","Pine Siskin",NA,-112.04409,53.743744
"1021","Sharp-tailed Grouse",NA,-112.04409,53.743744
"1021","Wilson's Warbler",NA,-112.04409,53.743744
"1021","Yellow Warbler",NA,-112.04409,53.743744
"1022","Le Conte's Sparrow",0.165,-111.788589,53.67614
"1022","Pine Siskin",0.11,-111.788589,53.67614
"1022","Sharp-tailed Grouse",NA,-111.788589,53.67614
"1022","Wilson's Warbler",NA,-111.788589,53.67614
"1022","Yellow Warbler",0.945,-111.788589,53.67614
"1023","Le Conte's Sparrow",0.56,-111.449608,53.671288
"1023","Pine Siskin",NA,-111.449608,53.671288
"1023","Sharp-tailed Grouse",NA,-111.449608,53.671288
"1023","Wilson's Warbler",NA,-111.449608,53.671288
"1023","Yellow Warbler",1.5,-111.449608,53.671288
"1024","Le Conte's Sparrow",0.22,-111.22509,53.639076
"1024","Pine Siskin",0.11,-111.22509,53.639076
"1024","Sharp-tailed Grouse",NA,-111.22509,53.639076
"1024","Wilson's Warbler",NA,-111.22509,53.639076
"1024","Yellow Warbler",1.28,-111.22509,53.639076
"1025","Le Conte's Sparrow",NA,-110.883202,53.581032
"1025","Pine Siskin",NA,-110.883202,53.581032
"1025","Sharp-tailed Grouse",NA,-110.883202,53.581032
"1025","Wilson's Warbler",NA,-110.883202,53.581032
"1025","Yellow Warbler",NA,-110.883202,53.581032
"1026","Le Conte's Sparrow",NA,-110.593414,53.581261
"1026","Pine Siskin",NA,-110.593414,53.581261
"1026","Sharp-tailed Grouse",NA,-110.593414,53.581261
"1026","Wilson's Warbler",NA,-110.593414,53.581261
"1026","Yellow Warbler",NA,-110.593414,53.581261
"1027","Le Conte's Sparrow",NA,-110.263603,53.544392
"1027","Pine Siskin",NA,-110.263603,53.544392
"1027","Sharp-tailed Grouse",NA,-110.263603,53.544392
"1027","Wilson's Warbler",NA,-110.263603,53.544392
"1027","Yellow Warbler",NA,-110.263603,53.544392
"1028","Le Conte's Sparrow",NA,-110.053764,53.460358
"1028","Pine Siskin",NA,-110.053764,53.460358
"1028","Sharp-tailed Grouse",NA,-110.053764,53.460358
"1028","Wilson's Warbler",NA,-110.053764,53.460358
"1028","Yellow Warbler",NA,-110.053764,53.460358
"1029","Le Conte's Sparrow",NA,-120.041786,54.254326
"1029","Pine Siskin",NA,-120.041786,54.254326
"1029","Sharp-tailed Grouse",NA,-120.041786,54.254326
"1029","Wilson's Warbler",NA,-120.041786,54.254326
"1029","Yellow Warbler",NA,-120.041786,54.254326
"1030","Le Conte's Sparrow",NA,-119.750648,54.213634
"1030","Pine Siskin",0.11,-119.750648,54.213634
"1030","Sharp-tailed Grouse",NA,-119.750648,54.213634
"1030","Wilson's Warbler",NA,-119.750648,54.213634
"1030","Yellow Warbler",NA,-119.750648,54.213634
"1031","Le Conte's Sparrow",NA,-119.348755,54.211262
"1031","Pine Siskin",NA,-119.348755,54.211262
"1031","Sharp-tailed Grouse",NA,-119.348755,54.211262
"1031","Wilson's Warbler",NA,-119.348755,54.211262
"1031","Yellow Warbler",NA,-119.348755,54.211262
"1032","Le Conte's Sparrow",NA,-119.045845,54.192703
"1032","Pine Siskin",NA,-119.045845,54.192703
"1032","Sharp-tailed Grouse",NA,-119.045845,54.192703
"1032","Wilson's Warbler",NA,-119.045845,54.192703
"1032","Yellow Warbler",NA,-119.045845,54.192703
